$type='simple'
$title='28-Jul-2016 @ 16:44:32 Simple Data'
$sizes=[6,10,8]
$method='blrm'
$comment='sin/cos data (random frequency & magnitude)'
$comment='Type: simple'
$date='28-Jul-2016'
$time='16:44:32'
$machine='00000010'
$project='Sample Project'
           t [s]           x [µ]           y [µ]          p [m°]          ux [µ]          uy [µ]
      891.440501       12.119404        8.819334       88.984888       -0.032413        0.035055
      893.528184       12.526867        9.156758       94.039071       -0.017660        0.083858
      895.615866       12.647293        9.394131       98.494671        0.112587        0.108519
      897.703549       12.302808        8.929481       91.256821        0.001748       -0.091913
      899.791232       12.530857        8.148074       88.327887       -0.053092       -0.017189
      901.878914       12.794703        8.791318       95.925887        0.069814       -0.002444
      903.966597       12.749411        8.302192       92.341205       -0.150088       -0.049961
      906.054280       13.381222        7.732309       93.436697        0.065849       -0.089477
      908.141962       12.874558        7.940354       88.630749       -0.022715        0.114491
      910.229645       12.832364        7.843706       89.643887        0.235330        0.060103
      912.317328       12.458797        8.133301       88.490868       -0.071370       -0.081970
      914.405010       12.246256        7.114857       80.861126        0.046595       -0.094741
      916.492693       12.614001        6.842665       80.431128        0.012965        0.038448
      918.580376       12.223046        6.578256       76.477580       -0.118886       -0.061995
      920.668058       12.242079        5.896929       72.187361        0.096308       -0.107847
      922.755741       11.686841        6.606201       71.612368       -0.244891       -0.022271
      924.843424       11.870766        5.547307       65.434799       -0.214072       -0.076026
      926.931106       10.984688        6.057238       61.875591       -0.144055        0.076466
      929.018789       11.526633        5.951161       66.251171        0.143619        0.207592
      931.106472       11.083461        6.266963       65.832443        0.108237       -0.153086
      933.194154       10.626427        4.919217       52.025851       -0.137652        0.075375
      935.281837       10.035470        6.195213       57.691735       -0.019773        0.038019
      937.369520        9.923933        5.669263       52.771475       -0.081775       -0.075830
      939.457203        9.785570        5.403034       49.858708        0.025657        0.086549
      941.544885        9.721829        5.893810       54.142947        0.231148       -0.079954
      943.632568        8.904708        6.036402       49.461122       -0.096433       -0.169402
      945.720251        9.183246        5.880689       50.676497        0.214367       -0.101098
      947.807933        9.270775        5.608167       46.991027       -0.051180        0.052035
      949.895616        8.246385        6.684423       48.369871       -0.071711        0.036928
      951.983299        8.245778        6.464690       47.675115        0.067059        0.090239
      954.070981        7.767905        6.299937       41.088647        0.078004        0.044170
      956.158664        7.328360        7.161448       47.494329        0.030778        0.113432
      958.246347        7.925628        7.046444       49.054664       -0.161420       -0.180433
      960.334029        7.604967        6.662392       43.286777       -0.076045       -0.027405
      962.421712        7.210077        7.548231       48.416604       -0.095479       -0.032688
      964.509395        7.280620        6.901449       43.679385       -0.056376       -0.005210
      966.597077        7.150586        7.388396       45.890211       -0.086030        0.096047
      968.684760        6.839035        8.047197       47.472857        0.046837       -0.060878
      970.772443        6.513153        8.366324       46.259003        0.111269        0.022721
      972.860125        7.234537        8.468066       52.882276       -0.027573       -0.171960
      974.947808        7.210026        7.968912       49.558197        0.060966       -0.082382
      977.035491        7.286908        9.167471       59.667515        0.083477        0.084613
      979.123173        7.355082        9.529005       62.849960        0.014723       -0.156912
      981.210856        7.282248        9.686069       61.932751       -0.029982        0.127336
      983.298539        7.777001        9.239369       64.006536       -0.059689       -0.043569
      985.386221        8.148588        9.463864       68.006221       -0.127942        0.047499
      987.473904        8.084653        9.383459       66.141528       -0.030087       -0.105865
      989.561587        8.694345        9.963389       73.578592        0.017545        0.067933
      991.649269        8.784223       10.068077       76.928164       -0.020538       -0.000127
      993.736952        9.101314        9.782273       76.045150        0.023969        0.112866
      995.824635        9.068740       10.450185       79.538676        0.005086       -0.049207
      997.912317        9.520618       10.462429       84.153708        0.073736       -0.066182
     1000.000000       10.098433       10.405004       88.089529       -0.069355       -0.068047
